,id,name,popularity,followers,genre,first_release,last_release,num_releases,num_tracks,monthly_listeners
13621,2DQhBpMjHrXCMnFaVaQz8b,hausmylly,36,12303,"classic iskelma, finnish pop, iskelma, suomi rock",1990,2024,19,1,98538.0
13622,3Z9ijrVnS0SeT22OTcsTqu,fvnerals,20,15166,"doomgaze, drone metal, gaian doom",2013,2023,5,2,9654.0
13625,5ZCIBTruXBxbtCZ0IztQWI,ray noble,26,3055,"british dance band, british jazz",2004,2023,20,20,26065.0
13626,3Yps4DdnByZcCG9byWiHeo,terraphobia,1,691,"christian death metal, christian thrash metal",2011,2022,6,1,126.0
13627,4L2dV3zY7RmkeiNO035Fi0,mufasa & hypeman,60,14651,pop dance,2021,2023,3,1,4925791.0
13630,4i7gGBfYGkDYL39NVTqCim,controlled kaos,0,198,minimal dubstep,2012,2016,4,3,106.0
13632,0FywyaLz7YX2ejwWLM0MSq,hot swing sextet,26,5027,modern swing,2018,2020,3,1,18868.0
13635,2hkiEcPVSIP1Qa42HNSQCs,wyckham porteous,3,131,canadian americana,2001,2013,3,13,533.0
13641,7oRn2Jv3j0f23EjcSSCR9W,philippe jordan,30,906,orchestral performance,1900,2020,18,7,28294.0
13642,3Khoy5zIQXBpI0fzYtRIZP,samae koskinen,23,7321,"laulaja-lauluntekija, suomi rock",2013,2023,17,1,19011.0
13651,44VGw5Gfb4hSnDXbuoYRVZ,christopher timothy,2,81,reading,2010,2010,2,8,376.0
13653,1SwwTkhqvKuH6n2KeQzHFa,makoto sakurada,28,714,japanese classical performance,2004,2022,8,40,32286.0
13656,0AJWI2oTTVSHbaE6tpzCJB,damhnait doyle,34,2598,"canadian pop, nl folk",2003,2020,8,1,3195.0
13658,0tpezLXfXTOcpSsRevi9Uu,tuli kupferberg,0,245,beat poetry,2015,2015,1,17,64.0
13662,7qo5OfIlGa7JFB5nu6yqQ1,deus ex machina,5,1244,singaporean metal,2006,2022,5,1,1222.0
13663,1oQyFDTi5Glia8Nzgl8kwR,sniper sp,34,19277,reggaeton flow,2010,2023,20,1,119534.0
13664,5fbhwqYYh4YwUoEs582mq5,the spinners,59,905582,"classic soul, disco, funk, motown, philly soul, quiet storm, soul, southern soul",1967,2021,20,12,3195614.0
13667,4Fchu2mbbEbh7ynXh7XTCP,daniël wayenberg,5,220,dutch classical piano,2006,2021,14,34,595.0
13673,2bxjT9R6oGicimz2nRZaca,the israel jazz orchestra,11,1210,israeli jazz,2008,2023,14,1,3197.0
13674,0RjQMVpKDBFNOokpXadk1l,daniel mille,9,1397,accordion,1993,2018,8,12,1472.0
13677,1koutXdSFq2PHqtxSWj9tK,hot milk,51,120409,"pop punk, uk pop punk",2019,2024,16,1,557573.0
13682,0pakE4VRLvcpaKCzlvRg7M,dukesoul,35,46289,south african house,2013,2023,3,6,98729.0
13689,2MqWqAmRvIjvYdD3cMBbrg,illum sphere,17,9416,"purple sound, wonky",2009,2017,15,5,12988.0
13690,307rmRDqcAzPF93QLy2o1m,the akulas,1,192,instrumental surf,2017,2023,2,14,312.0
13691,6DKmuXxXASTF6xaJwcTfjv,spiritualized,43,245966,"alternative rock, britpop, chamber pop, noise pop, shoegaze, spacegrunge",1992,2022,16,1,295709.0
13693,3353dBzQgdXG2Vs6etnnPn,ruvellas,2,770,"britpop revival, dundee indie",2018,2022,5,3,307.0
13694,4zn72AgSagNy1YAugohU7f,naturelement,2,443,ambient psychill,2012,2020,5,3,199.0
13702,3KAMhvtEwHSRolXqJrUrvW,lack of limits,7,1862,"celtic rock, medieval rock",1998,2007,6,8,1509.0
13706,0qn26m7KruFgUudgY5JrB9,dj striden,28,18330,speedrun,2015,2024,20,1,25002.0
13709,6KazgLPtdrHEYaV8Das5vk,mammoth volume,6,4029,retro metal,2005,2022,8,1,949.0
13712,5tgdv17YvYp5u2YS4rsSRl,robério e seus teclados,42,101164,forro,2017,2024,20,12,216168.0
13714,4tEWLl4loWFLgs25trNnro,betraying the martyrs,38,147924,"deathcore, melodic metalcore, metalcore, symphonic deathcore",2009,2023,17,5,171372.0
13719,4kCZ5nyurc9eIqLJfUcW0Y,anonymous,58,22616,medieval,2023,2024,20,17,1263223.0
13722,4Nyl3xHIedqFlfgIoTfK4n,lily berglund,6,825,vintage swedish pop,2016,2016,1,2,1467.0
13723,5w7xqEdmN7gXyYqJ2aaJiv,murmansk,0,435,finnish alternative rock,2009,2012,2,10,97.0
13724,30mBdF9YnhduoI9CCRtCDZ,death mercedes,0,134,french emo,2013,2013,1,10,34.0
13725,1mGseCe2tExWZ7gLFNQNh9,ashburne glen,0,24,dallas indie,2002,2005,2,10,0.0
13729,4gSRXG5tamMDAxsswktQKG,emon(tes.),32,12497,"rhythm game, vocaloid",2011,2022,10,1,74784.0
13730,0u4G1K1CSzcp5PZ6G6FIGu,darren espanto,42,439232,opm,2012,2024,20,1,416448.0
13732,2zgG1GPDvjaBgxeQaVXI14,all that remains,58,1292082,"alternative metal, melodic metalcore, metalcore, nu metal, post-grunge",2002,2018,11,1,2087065.0
13734,23h3azda4DkJkvN8wyue1R,marcel pérès,41,3804,gregorian chant,1991,2019,11,16,61015.0
13735,5hxjGVs5cI8ytMrPXuaCQI,saint just,2,1668,italian progressive rock,1973,2024,6,4,283.0
13737,2Dor6diK1zw9BEluKBOdoA,23,63,107934,"swedish drill, swedish hip hop, swedish trap pop",2021,2024,20,1,1244252.0
13738,4PY51S3HuOMhnZA0Sx8FRN,the skinner brothers,34,24011,"british alternative rock, britpop revival, english indie rock",2019,2024,20,1,48202.0
13740,28VMLZhrJILgl5WUAoG5Ke,fractal man,20,2589,chillsynth,2019,2024,20,1,9476.0
13746,1ecBsZGhyW0HqxgE2HLJPZ,daniel kehlmann,39,5515,"german literature, writing",1998,2023,13,37,11222.0
13751,5xWGFEZ7wah3Ikn9ZMWn9m,dubtek,1,553,minimal dubstep,2011,2021,9,3,310.0
13753,4HNzRQlaUVSYkQcBvrDJV9,clara haskil,19,8396,"classical performance, romanian classical piano",2021,2024,20,9,7281.0
13755,1lPoUtXvNsSiVYGpmOjv4v,pascäal,18,15925,vapor twitch,2013,2019,5,5,14182.0
13764,2JFTRDi5v7JtqoouVe1z5D,slow pulp,56,161835,"bubblegrunge, chicago indie, countrygaze, nu gaze",2017,2023,13,6,1286585.0
13768,22y08IZx7u6SWpsfap1Cub,rio romeo,68,327414,"pov: indie, weirdcore",2018,2023,16,1,6157695.0
13769,25pwh5JrKHzLv2FTPSvoqa,vicki sue robinson,34,22525,disco,1976,2015,7,3,146412.0
13774,5235I7GdsQBvXeYuX6lS1D,soundaholix,19,2281,"full on, psychedelic trance",2009,2023,7,1,15289.0
13778,3iqdAlIr0ARA6ygX3Z1e2V,rowland the bastard,1,1251,acid techno,1999,2011,2,2,308.0
13780,6eWirWjLDYhaj2jtw8VzxI,jesse jackson,1,245,oratory,2011,2023,9,1,1187.0
13783,5zmjVOnKye1D7VJPw0glI8,...music video?,10,516,tucson indie,2004,2011,4,2,377.0
13786,4lpA7MWpQpY7hKkwfLxw2Q,lindsay ell,43,87060,"alberta country, canadian contemporary country, canadian country, contemporary country, country pop",2015,2023,20,1,366898.0
13787,5CdQg6KJxqQhivrp6h56yu,matt boroff,1,481,gothic americana,2010,2021,10,4,214.0
13789,68VJJPVAVNAmwsDDf1i70g,big big train,35,34362,"neo-progressive, progressive metal, progressive rock, symphonic rock",2009,2024,20,6,32731.0
13791,3NFPlTuR6m0EWNwehiemCT,slim jesus,22,24232,ohio hip hop,2017,2021,19,1,19228.0
13792,5XC1gemM3eGX7CKQtAb3fv,pepe miranda,14,2317,nueva ola peruana,1970,2018,2,4,4031.0
13795,4ZZPTcDGu6kLyT8QEICyUg,francisco mignone,27,2961,"brazilian classical, latin classical",2004,2023,20,20,57142.0
13798,0oZIb1hT9LgKA0Sc2U7xEp,the dutch jazz orchestra,3,265,jazz orchestra,2001,2008,6,17,409.0
13799,5NQokaOGvbGkYbsf9RCQ3I,the full teenz,1,767,japanese indie pop,2020,2022,3,1,134.0
13806,0zpMEtJmjRr1MKFveLQqeZ,the heavy eyes,42,36594,"alternative roots rock, modern blues rock, psychedelic doom, retro metal, space rock, stoner metal, stoner rock",2010,2020,11,4,158273.0
13812,6aVJrKiexfu5UlaqCRA8ax,necrotic disgorgement,11,5477,slam death metal,2004,2013,2,9,3814.0
13816,1LyYIhqdjG9R9VdIRSftBb,undergrunn,55,73120,"norwegian pop rap, norwegian trap",2018,2023,15,1,448029.0
13818,3Co4gT2U5SSLRcqcaArvBF,kisnou,37,21975,chillstep,2018,2024,20,1,118198.0
13820,71YfYiTx6KAZFJfKaNYueQ,friday night plans,44,97205,"city pop, japanese r&b",2018,2024,20,2,314403.0
13822,5MgkJgCYsozS2jp0Z5HWsy,udachi,2,566,bass house,2010,2024,16,6,280.0
13824,06Ge4JNLu5LA8ksHJvIabv,machacha,26,1993,boom bap,2022,2024,20,10,15269.0
13825,05TeWWFqSVEUurt1lVhh4q,lou doillon,46,85729,"french indie pop, nouvelle chanson francaise",2012,2023,11,1,511726.0
13827,2EwAX9aQZtKjs0EmZ1LrQJ,joachim spieth,22,4640,"ambient techno, hypnotic techno, minimal dub, pop ambient",2017,2024,20,2,11582.0
13829,7g9IIZVavPOJdU9eNwTNLr,fukkk offf,40,35279,"electro trash, fidget house, hamburg electronic",2009,2023,20,5,317762.0
13833,7tl9hTvWQrZhwf7CDn0lq9,the meligrove band,3,948,toronto indie,2002,2014,3,10,562.0
13836,25u4Wltpv2iu8205c400T8,spitfya,20,2435,gaming edm,2016,2024,6,1,15871.0
13837,2FI6HmDzdbPjR0iSNO6c3F,endlich schlechte musik,19,2157,"german punk, german street punk",2014,2021,4,4,2339.0
13838,5aaao65E0YAfDLvncN7Wmo,norrhem,13,4218,"finnish black metal, pagan black metal",2017,2023,6,4,4027.0
13853,4CmD5FBFUjLGnIaMF0IL2i,corr mhóna,3,742,irish metal,2009,2021,7,1,265.0
13856,23QNLiXw2FHadNuhZudBnJ,sub dub,3,618,illbient,1992,2023,7,3,401.0
13857,0d7DJzcGwqcagaZGF0ymYl,kobenz,29,5995,zxc,2020,2023,14,1,46092.0
13862,2PrdW7jJDChZt9sgPhdKlq,weapönizer,0,559,"blackened crust, denver metal",2017,2017,1,9,67.0
13866,1auMpXmTIa5pFr2xt3HtWE,starfoxxx,1,572,moombahton,2014,2014,1,12,210.0
13867,4V8Sr092TqfHkfAA5fXXqG,luis fonsi,73,10473845,"latin pop, puerto rican pop",1998,2024,20,1,20993277.0
13868,64ijtgQIy6sWzgsoyFnMyd,the peppermint trolley company,10,2928,sunshine pop,2009,2009,1,27,2952.0
13869,7y1K6EeIt8lGXWwh1q7dqt,果味vc,5,1895,chinese indie rock,2013,2022,20,1,1252.0
13871,2F2XAtVJZNanXWDaBKdwVj,borowa mc,13,854,latvian pop,2005,2023,15,1,4900.0
13872,5JelVUCQwLevnbFnjeiPK4,kabanjak,31,7949,electro dub,2010,2023,20,3,92549.0
13873,6VXZCpbkwm0W0aPjQR1t4K,youngblood hawke,41,134289,"la indie, shimmer pop",2012,2021,16,6,332773.0
13876,12PSlydMSjEHzSCj9X5qv7,baby bash,61,921195,"chicano rap, latin hip hop, pop rap, southern hip hop, texas latin rap, urban contemporary",2005,2022,20,15,4810116.0
13880,3eKlygZ2G8oK9KNjdbqbDA,geoff tate,18,2132,"deep comedy, new comedy",2013,2020,12,11,3302.0
13885,3evLahgQqX6BxVn06G00xk,kerry christensen,9,326,yodeling,1991,2016,3,3,2889.0
13887,2f9PTWJfMMDTAFZcvHy1Z5,overwerk,44,137152,"canadian electronic, complextro",2014,2023,15,4,260011.0
13890,2OcOLIVOefSjJZKw1aYw6G,rufus jagneaux,5,244,swamp pop,2009,2019,2,12,1027.0
13892,00y7UuN6rosSxhyASWscs6,elias belmiro,0,94,violao classico,2007,2007,2,16,27.0
13895,3cRefPIcck12SkdYSokmVk,tara king th.,6,1079,french psychedelic,2003,2023,20,4,1063.0
13900,1N0Bm9VCkURJH1FHVCKEcK,riccardo fogli,37,74366,classic italian pop,1996,2022,20,10,110938.0
13903,3BHpm2dHPM1Derdim6rXqR,faizan showkat,10,1277,kashmiri pop,2016,2023,9,1,3904.0
13905,7o9yRdvTLPTZqU784wBTJJ,dominique poulain,20,1597,dessin anime,2009,2009,1,4,17155.0
13907,09jqT1IE3SeITxPSRtmSMS,keith canisius,2,413,indie shoegaze,2008,2022,9,5,216.0
13908,3ldQTVNiLhC5mT9kf3Ac7O,fotomaker,7,1197,"beatlesque, power pop, underground power pop",1978,2005,4,10,1343.0
13910,4I2AY7ym4gK4sGuvhzWrih,martin deschamps,22,11637,"chanson quebecois, country quebecois, rock quebecois",1993,2023,18,1,15996.0
13913,6IxjXsaqZ81Fi1HiwRq4LS,holidays,19,1317,dansband,2012,2024,17,2,3520.0
13925,6ldp4tSRbPDs5VA2w9KXmD,havamal,22,7159,"finnish metal, folk metal, melodic death metal, swedish melodeath, viking metal",2017,2024,11,6,10664.0
13926,7frqYw89gDvZmiYvaAklVN,frozen dreams,2,1589,epic black metal,2017,2020,7,8,301.0
13928,1p3dxUIcvdiICNsqrLV347,doug quattlebaum,0,86,piedmont blues,1997,2015,2,2,30.0
13929,5Y5uyIAoa48cCWZk5XoZ5S,necrosy,3,1241,technical death metal,2015,2015,1,10,361.0
13930,62z5KIOA6Cf9oR2uBEvIdR,epic problem,1,372,uk diy punk,2013,2020,7,6,112.0
13939,0KmSqHKu9V4ZvexLyQiS5X,la brigade,25,40877,"french hip hop, old school rap francais",1997,2018,7,5,26362.0
13940,2Byn2ekDC01oao1e88L7fJ,percubaba,19,20525,"french reggae, french rock",2002,2010,4,12,11720.0
13941,4gs13ipYIJhCcqDMOEx9eN,nigel short,40,1479,choral,2013,2024,20,22,74250.0
13942,4yj8TyfUh6tEc9V1WQpCSz,mochuelo,2,3732,venezuelan rock,2006,2014,3,15,373.0
13943,7n562Bxlzk06tgCwDCE7BO,madeline willers,19,1922,schlager,2016,2024,20,1,15606.0
13946,1e9uSqFLTiHtsAM6JcNBke,paul panzer,44,29175,kabarett,2023,2023,1,11,38429.0
13947,67muZL7DIwZwLnH9BFfI5Z,lucas santtana,41,43044,"brazilian indie, nova mpb",2011,2024,20,1,326706.0
13958,3wilKAgmToSrOoekIrjLp1,andreas eschbach,50,19151,"hoerspiel, writing",2021,2024,20,118,16673.0
13959,0Ce9Q5Uz7jeuclsa3K7nNc,harsh mentor,1,300,modern ebm,2019,2019,1,5,361.0
13961,6yWyIM8jA96kl3jlCXpabB,nelson freitas,52,217832,"kizomba, kizomba antigas, kizomba cabo-verdiana",2008,2024,20,5,724795.0
13962,3F44NFkOhpksx7b2JXMo3G,weaves,17,16272,toronto indie,2013,2019,17,1,11649.0
13971,6PA6cOkr31WIibRMDZXZkU,stage kids,36,21173,"instrumental math rock, math rock",2009,2020,4,6,98746.0
13972,3xyyxkNRioRvUAvHZ1Lm5A,giant brain,1,166,neo-kraut,2007,2023,3,5,100.0
13975,2U5In9BTFRmZ3p4NzebxX1,luv machine,6,2090,psychedelic blues-rock,1971,1971,1,18,1260.0
13980,5CVEMruw5MzbfRdfImi2AX,deltatron,20,1807,"moombahton, neoperreo, trap peruano",2012,2021,11,1,6446.0
13982,63mb1NscbexVeGrjgTZ92q,david korevaar,9,281,american classical piano,2003,2019,20,14,1831.0
13985,46oQvemmeJ8ayzyWoxHTUW,hielo negro,16,8562,"chilean rock, punk chileno",2001,2024,7,10,3260.0
13986,6FMByiXYyVWCsnfRz08wO3,grayceon,3,2320,avant-garde metal,2011,2020,8,2,303.0
13988,3cpd1Xmkjuz462dbWcB6N3,lukas simonis,0,52,dutch experimental,2002,2021,6,16,44.0
13990,1kpan09QiyUSG3N4rOS0Lu,fragments,23,2243,french indietronica,2014,2022,8,4,25144.0
13994,5dMPhj9s9v91MpdGNpInLy,moğollar,38,218610,"anadolu rock, turkish rock",1968,2020,20,2,189249.0
14001,7JiusYAurOIaIMoNYhV0Xo,infraktor,0,525,"portuguese death metal, portuguese metal",2018,2018,1,10,73.0
14006,4BFn4jmfqSNaHtPWHTcy41,mambolosco,60,861299,"italian pop, trap italiana",2019,2023,20,1,1628025.0
14009,3IMOGrM63og03I4jMYo35G,ascendant vierge,46,54068,electro-pop francais,2019,2024,17,1,306785.0
14010,24GAQ1ZP6Mxe2RzQBYn8Io,mariano stabile,2,170,italian baritone,1946,2013,5,19,172.0
14012,3AYOEAWnUmVw0jNhrbKbMV,svanerne,18,877,"classic danish pop, dansktop",1991,1998,3,12,4051.0
14014,6UBA15slIuadJ8h2lPRPos,tech n9ne,67,2701849,"detroit hip hop, kansas city hip hop, pop rap",2010,2023,20,22,3668734.0
14017,2IW1E4rZStaUEm8xlpuqUe,argenis carruyo,34,76970,classic venezuelan pop,1997,2023,20,9,29900.0
14018,7HvuuVdykwFE84tNZ8TVK9,moussa traore,8,1622,"african percussion, djembe",1999,2004,2,7,2082.0
14019,4KeeU21zcifwmfHS305WRH,king louie one man band,1,480,garage punk blues,2005,2023,2,16,130.0
14022,4SgHwxSnXkbmCqASAJj8Ym,voia,8,1466,kawaii future bass,2015,2023,14,6,2292.0
14026,5QdhTBDhLZGC4nOUZQryMg,kypck,13,5182,"epic doom, finnish doom metal, oulu metal",2008,2023,8,2,1966.0
14028,4ab2tQaaTr2TnairelOwvO,nicole atkins,30,32824,pop soul,2007,2021,20,2,67129.0
14030,5VW3Q1mO069em9KbZzxJwu,predictionz,0,120,chill-out trance,2009,2009,1,6,56.0
14037,5nki7yRhxgM509M5ADlN1p,oliver heldens,69,1010601,"edm, electro house, future house, house, pop dance, progressive electro house, progressive house",2015,2024,20,1,9726588.0
14039,1pcenCqmvsJLFKtzJOoxqf,rezonance q,27,3644,bouncy house,2003,2011,6,7,42908.0
14040,4bhvWJFxlXDWeCbHbN6n4U,komara,2,1589,brutal prog,2015,2015,1,10,285.0
14045,5fKpGPlcEvjFMDDWDKniND,reaubeau,29,9023,dutch edm,2019,2024,20,1,61097.0
14046,0CYkcZdcmlHnTlUBRhLiMf,throne of heresy,1,1491,grisly death metal,2013,2017,8,3,196.0
14048,5n3GpTBh4tRPtPr21C7Wud,7 baltic,1,88,progressive uplifting trance,2013,2019,20,4,448.0
14049,6S2e4gRYkjQlRO0td92cyN,scheibsta & die buben,8,3326,austrian hip hop,2015,2019,6,1,2335.0
14051,09R8WbFKAYhgy8ebl7zeUO,franco calone,34,42615,canzone napoletana,2007,2021,20,10,68386.0
14058,01vieJHWhg5Vxk57RmfGau,sunship,45,12164,"acid jazz, uk garage",2014,2024,20,1,472387.0
14060,2cqVxp1gQUIIEAV2RLk8eR,brian melo,9,1162,canadian pop,2007,2023,3,1,2650.0
14064,3lbwPBln41G2m3d93rxA3T,chubby carrier,13,2261,zydeco,1993,2015,5,13,4193.0
14070,3LMilbpKFGjuB4mJllE5Oo,giulio caccini,36,6365,italian baroque,1980,2023,20,1,133984.0
14072,3MbOo4nhC6MMBowEv1WSO3,comando suzie,4,690,spanish post-punk,2010,2023,13,4,281.0
14074,4Ow8E0cQFWpSXUJokjkZaT,mogens wieth,2,287,dansktop,1951,2000,3,1,476.0
14075,2GH8Mzo3Ur1AdOnGUUpt17,octo octa,29,54074,"float house, transpop",2011,2023,20,1,61057.0
14076,32Aq2LtHmJ2gFQT0Nnu3PF,toni moralez,16,1944,ghettotech,2019,2023,3,5,7786.0
14079,4iqg3LlZiqAElJOXJtC11H,leon bolier,28,8282,"dutch trance, trance, uplifting trance",2008,2024,20,1,47592.0
14080,7zX44fpv6srJt3HfBv0GCn,pete parkkonen,38,18893,"finnish dance pop, finnish pop, suomi rock",2009,2022,20,1,83914.0
14082,28oQSgNZXIuCrcZXXJ2KXO,the mono jacks,26,17546,"romanian indie, romanian rock",2011,2023,18,4,15508.0
14085,68mTMM7rhA3YDSZX1VwuLy,mark padmore,41,2359,classical tenor,2008,2023,20,11,77925.0
14094,1ZqVxe4j6KEwGA1WyJkw8t,sweeps,41,22090,chillhop,2016,2024,20,1,226556.0
14096,7bPU7cvfoD20ixGD9Qnqki,stealers wheel,62,156439,folk rock,1972,2023,4,4,6968993.0
14097,1zlw4Bo1Qe00vRLULOVk8x,arise horror,1,358,brutal deathcore,2009,2012,2,10,120.0
14099,6V6ERaqpQZ8bLLmxInyBfg,collect call,0,205,brighton indie,2020,2023,10,1,69.0
14102,2pXslc5meUnJf4WmxcjuL0,master holy,3,714,experimental hip hop,2019,2021,14,1,285.0
14103,47C5KRqU6YDhqTuJmBhMOb,chey dolla,17,3216,ohio hip hop,2018,2022,20,17,1809.0
14104,1pMFd6pXLCTapwVNmwweAt,adam phillips,2,318,hard motivation,2008,2023,6,1,387.0
14105,5QQr2nNGpSRMu3F3BcfYSi,swans of avon,1,425,corrosion,2010,2010,3,4,235.0
14110,6uElH4moADg7AGB3DCGOwy,hunee,28,42165,"deep house, float house",2015,2020,4,2,79005.0
14111,54lwYbpQ091ebCv0xej1sO,tamara bubble,22,2255,bossbeat,2018,2024,20,1,14718.0
14114,3eaL0PqPKdm8uEMuis7kje,thy final pain,0,205,"german death metal, grisly death metal",2009,2009,1,11,39.0
14116,2DmHmuaNqk7XseDClfU5rS,dave griffiths,16,441,ambient worship,2013,2024,20,1,8132.0
14119,1lWoCfgK39pYMw54c6d72O,håndgemeng,11,1620,norwegian alternative rock,2018,2024,9,1,2074.0
14126,0MLZZV1BsCuxwRiqpJfa4Y,dying sun,0,252,atmospheric sludge,2017,2020,4,5,39.0
14129,3BPlRvUsbJdNM0nM8wqmbV,kuzira,35,11201,japanese pop punk,2018,2024,5,4,26430.0
14130,4SFBADSs8CVFY8w44Ti16o,cvpellv,18,2448,russian gangster rap,2012,2024,20,1,12098.0
14133,7FauDKMDbUkCa6SuNfI0GP,vomit forth,28,15043,cavernous death metal,2019,2022,6,1,39073.0
14136,5pmGOqAGCrrD4Y89zUJknI,lars martin myhre,24,2365,norske viser,1985,2023,20,1,17070.0
14151,52OzOVn0br6av6uBcn0yJ9,ria hall,34,7323,waiata maori,2011,2023,12,5,33201.0
14152,6Tz3nFnN2k3qvsjgJuCO1p,kuroneko,43,188122,"anime rock, j-pixie, vocaloid",2016,2024,13,1,265748.0
14153,7oYifSfeTjOlqhKFax6Af0,clamidia,0,50,musica sammarinese,2010,2014,2,8,5.0
14155,3mAO9dpiyiEOaC0x52UjGC,greedy black hole,1,953,taiwan metal,2016,2021,3,1,181.0
14160,04F99bXN4w6dNnvSCRzkIb,donna giles,6,252,diva house,2007,2020,5,2,2258.0
14161,4NgfOZCL9Ml67xzM0xzIvC,janis joplin,62,3278898,"album rock, classic rock, hard rock, psychedelic rock, rock, singer-songwriter",1967,2022,14,1,4231953.0
14164,6NhiWVGtq25QmacOUbTXKf,harbhajan mann,40,690239,"classic bhangra, punjabi pop",2002,2023,20,8,205380.0
14168,5xsVNf5E9S45BbH5h4anhU,ancient bear cult,1,176,viking folk,2011,2018,3,4,247.0
14169,5cyCLMWdx5Xlv4We5oJ7ra,jarcrew,1,591,welsh indie,2003,2023,4,3,228.0
14171,1cIkuQCV7CvADErrMCo7eJ,ezenia,25,3256,euphoric hardstyle,2019,2024,20,1,20324.0
14173,4hQQE3GUQeBAOFwTJ5aede,the carbonfools,24,11799,hungarian rock,2010,2023,20,1,16389.0
14178,1Ueg6LygdPS5dnduGiCG1b,devonts,0,616,folk brasileiro,2014,2020,7,4,99.0
14183,7HJ0Wcvto8ty8QxWAw81YR,general woo,24,6675,"balkan hip hop, croatian hip hop",2003,2014,5,12,10535.0
14191,7JRs0G0kHZTBs0Lo7qOjL8,dirty beaches,32,62238,"experimental pop, hypnagogic pop, noise pop, one-person band, quebec indie",2009,2014,9,6,77859.0
14196,5CYAFhywQTXdZmppCp0ukd,claude vonstroke,37,124081,"bass house, deep disco house, fidget house, house, minimal techno",2006,2023,20,1,184262.0
14201,3vbbctIYmGu2HXRSSwFqoR,skiggy rapz,13,1081,jazz rap,2004,2013,7,9,3152.0
14202,7gBhkYfRJX0HA6cEdu6xkx,doombringer,1,2302,polish black metal,2017,2017,1,7,117.0
14205,2qhLqZ1pkiUl5HNrU2Nz0R,chambao,46,322197,"flamenco, pop flamenco, rumba, spanish pop",2002,2024,20,1,282989.0
14206,31v3ZPlt4yuLhmB9fF8Dd0,neil perry,16,5470,"new jersey hardcore, screamo, skramz",2002,2002,1,6,5589.0
14209,52adaUge2m2wcH7wjACu0s,hans sigl,47,972,german literature,2018,2021,20,7,33825.0
14210,597AyxEhpZBd1JaZAlqUpV,dezeption,0,142,"danish electro, deep neo-synthpop",2013,2022,3,1,16.0
14213,7l2gykN6ATgE2ImbhwoNO2,notize,34,4859,danish electronic,2022,2024,20,1,100536.0
14215,07ib7Dg8x1mpU8OtQZwgqF,catfish soup,1,74,australian blues,2011,2013,2,10,60.0
14216,4SrZcsBDQeTxIsIToko848,dj vengerov,10,131,dubsteppe,2016,2016,1,1,231.0
14217,3sDenzoI8D5JSNLeiS5wNF,nguru,12,2050,"euroska, swiss punk",2000,2015,4,12,1545.0
14219,25yRkdjW9bHSoEQhHMAsT8,sruthy sasidharan,35,3266,mollywood,2019,2023,6,1,229779.0
14220,0YUgIDp4ymx16LSls7yQvQ,sonicatomic,0,158,indie rock italiano,2019,2019,1,8,39.0
14222,0rR3hAtKmhMyZukxCFWLT4,mercedes peón,20,6220,"galego, galician rock, spanish folk",2000,2018,7,1,6291.0
14227,0Waa1UXmRMFxUG3E8eyCZu,gypsy pistoleros,11,4320,sleaze rock,2005,2023,16,3,3556.0
14230,3JQlyhcmq2YMrAtBhq8mdu,darvulia,6,3422,"french black metal, raw black metal",2003,2010,3,3,1152.0
14236,2zPvDg6LI6NHPQVQIESjfW,lara91k,49,55279,r&b argentino,2020,2024,20,1,582596.0
14238,2ipbBHbU59PKSeDXAgMpkd,marvin divine,45,12000,russelater,2017,2023,20,1,446587.0
14245,4uK8oUV6jazyInqpJJNiRx,brutalody,0,83,technical melodic death metal,2017,2020,2,1,52.0
14246,34owAQGgTOvgimPPZxkeuB,lorenzo ghielmi,22,1061,harpsichord,2012,2023,20,12,14701.0
14247,4jsMhXef3DBlwIfiVLEGDZ,moux,47,13785,focus,2017,2022,8,3,280581.0
14249,2SHO0IPq0mfwPxwquNx8Qa,koncept jack$on,26,7069,boom bap,2017,2023,20,1,17039.0
14250,5cX4t1wynwEgM2noNwJ4XF,savage beat,7,1926,"dutch punk, skinhead oi",2017,2023,10,6,833.0
14254,5DT38qH2MSOT383PGff4V6,daffodil,1,76,deep eurodance,1996,2016,4,4,286.0
14255,5m8H6zSadhu1j9Yi04VLqD,sly & the family stone,57,1001515,"classic soul, funk, funk rock, p funk, psychedelic soul, soul, southern soul",1967,2015,14,17,2267261.0
14256,3RORFoyfKdmkIJy8hfFLvo,igor presnyakov,20,16847,fingerstyle,2020,2023,20,1,11140.0
14257,2PSJ6YriU7JsFucxACpU7Y,chung ha,62,2164231,k-pop,2019,2024,20,2,2639495.0
14259,1ZpPJRe9erwiWi548SKVyn,dr. lonnie smith,29,58381,"hammond organ, instrumental funk, jazz funk, jazz organ, soul jazz",1967,2021,20,11,58023.0
14262,1HqB7rrPzpiqR9OMNKfZdE,psycadelick,30,8800,hip hop quebecois,2011,2023,19,1,18168.0
14266,6rl53MP8HSoiugpqzA50Zh,amir,56,816654,french pop,2016,2023,20,1,1660137.0
14268,1FTPaN9v2BFiu2LglOdZKP,ron miles,24,5098,jazz trumpet,1990,2024,14,6,31008.0
14269,6ZCLdyS3CQQTBxGtGNhzAz,doomsquad,3,2724,toronto indie,2015,2020,10,1,619.0
14271,3MUJ4wHF8z7MSoIfp1Tt1j,petit fantôme,15,5175,"french indie pop, french psychedelic",2011,2023,8,1,9958.0
