,id,name,popularity,followers,genre,first_release,last_release,num_releases,num_tracks,monthly_listeners
441,4GDQve2gu5EObSXCqj8xIY,joe sullivan,8,423,stride,1954,2021,15,4,2086.0
443,0mb9VsFi4Q02ZyCeI5VJfr,gerhild romberger,17,162,classical contralto,2006,2021,7,14,6707.0
445,2aDCVsozvx0fx4c6GOGu0G,namnambulu,21,16868,"aggrotech, ebm, futurepop",2016,2022,10,6,10574.0
450,4GI3W8M8sSGvc25hHxmYGV,jesús rueda,0,99,spanish contemporary classical,2009,2013,4,36,48.0
452,33jL232lcWHCMDWg0yk7JK,reverendos of soul,14,378,soulful house,2015,2023,8,4,7162.0
453,4E6QcuXdYcoKLdH731jtzz,victor haynes,21,4753,smooth soul,1994,2024,14,4,9201.0
459,5PXgZoCjPcqAsZk1ESRudj,jean-rodolphe kars,36,217,french classical piano,2017,2017,1,20,146575.0
460,5WUAI012FZOmGddyoMJQYM,no quarter,10,1263,fast melodic punk,2010,2024,5,3,1218.0
462,75I0Ju8oeSEKzG3IitS483,sicknature,29,10790,"flick hop, underground rap",2016,2024,20,1,15496.0
463,7hkaLWxN3ZmMVTn1qEpPdM,joeyy,49,53938,cloud rap,2021,2024,20,1,166056.0
470,6SoUHVP6zuADmNrVwpPaDi,marc-uwe kling,32,35359,liedermacher,2018,2021,5,4,20126.0
478,3BdGivzytiHhSHQ7VF58jL,matter mos,38,4503,indonesian hip hop,2019,2024,20,1,85367.0
480,6IpGCPfdHtfNZwSGihxXSj,matt sweeney,37,6082,alternative country,2005,2021,7,4,97134.0
483,1QLbmgRBifCvhJGFrYRby4,benni benson,1,553,german singer-songwriter,2013,2019,5,1,182.0
484,0NFb7EzMeIc7fZMsdDjlrf,sokratis malamas,49,154998,"classic greek pop, entehno",2007,2023,20,14,266371.0
486,7eWbFrseRms5D5quwPDkm2,audry funk,31,14424,"rap femenino mexicano, rap latina",2012,2024,20,1,65706.0
489,39kKJ3ngTMVWtlJdOIAv1y,fred field,1,202,jesus movement,1976,1976,1,10,146.0
491,1WLGlayiDpqOK8doYCiQTa,kayla brianna,15,21879,pop r&b,2012,2023,13,1,9128.0
498,4AezqvIDQWj1t6FMgVz4Wq,myndflame,8,1686,antiviral pop,2008,2022,5,1,2219.0
499,6F6lawSnwGWWgdXFN7LXO7,the dirty dozen brass band,29,45787,"brass band, new orleans funk, new orleans jazz, second line, street band",1984,2023,15,1,40298.0
502,4jVGLXfmO75MnpujSwud6j,scan tester,1,136,concertina,2009,2009,1,55,148.0
503,2WIUV9Yg8pVjB4odHkZ1La,chokez,6,684,deep dubstep,2018,2022,4,3,1440.0
513,4xiRtorOYCTQGqqPZNhkNw,thomas crecquillon,8,384,"franco-flemish school, renaissance",1979,2023,9,1,1657.0
514,1FX7zVQbylen46zQPyl48C,diapsiquir,9,2671,"avant-garde metal, chaotic black metal, experimental black metal, french black metal, industrial black metal",2005,2016,4,9,753.0
515,3gXLeeyXoh0rYZ8AUfmKQF,yellow umbrella,18,5271,"euroska, german ska",1999,2024,14,4,8873.0
523,5z30XoiG1ROl1v0sloEoX4,ali n. askin,17,597,german soundtrack,1998,2023,20,1,11911.0
524,3EfjEHtmoYHv9maqn43IvQ,golden ivy,12,2895,malmo indie,2014,2023,9,3,3830.0
527,3zlmUDbM9hGjBFGQf2ukkk,blue quarter,0,101,chapman stick,2020,2020,4,6,45.0
528,0HIiXblDOFPXxkuI35wOMx,a shell in the pit,36,16024,indie game soundtrack,2012,2024,20,1,249195.0
532,7gv5MPZxtjXDKkjTH32q9Q,kozeljnik,0,264,serbian metal,2010,2017,3,4,42.0
538,7GhpKfdk8b7K2AUFFqiBIJ,disfigured elegance,7,1571,brutal deathcore,2010,2019,2,1,1498.0
539,3Ru5n2T3JIrjnSZhf2rinv,braden bales,49,79326,singer-songwriter pop,2021,2023,20,1,664007.0
540,6vRbXTv81jO8AzjhBGo7ue,roy panton,22,782,jamaican ska,2012,2012,1,17,28871.0
544,00fUxTsDQ3TMlro9Abk6bG,vast aire,26,17816,"abstract hip hop, alternative hip hop, harlem hip hop",2004,2021,16,1,35317.0
545,2Ji7pIcY1oJeS2tevigVaE,manuel barrueco,31,12966,"classical guitar, guitarra clasica",1998,2022,20,18,54376.0
548,02Ik9fYoOXnU6qyuhpoFvR,jon sine,28,11800,dusseldorf electronic,2017,2023,20,3,62559.0
552,02aqpDfp52Ww8mXwbw90uU,dünedain,31,54002,spanish metal,2007,2019,10,1,31562.0
555,3K6tT5JIbqu3gV7wWlsgvT,release hallucination,29,11595,kawaii metal,2012,2023,10,3,19639.0
556,5aP8dn3E8HpMb5zMB2B6yY,amber digby,20,5664,"classic country pop, deep contemporary country",2005,2020,7,14,5137.0
560,2Mz5qpR3WxbcBwZBsmraWE,panopticon,30,62965,"appalachian black metal, atmospheric black metal, autonomous black metal, bosnian electronic, drone metal, folk black metal, forest black metal, kentucky metal, post-metal, usbm, voidgaze",2009,2023,17,2,26930.0
562,06BsriLouCsm19PPRownfn,memotone,18,4810,epic collage,2010,2023,16,4,8484.0
565,1VN38ZSdtQnHLa8PfTTKZD,marvin hamlisch,38,10629,"broadway, classic soundtrack",1968,2024,9,3,129768.0
567,1DOiJPXSa8eUgf0bTUeyn5,thủy tiên,25,9768,v-pop,2011,2023,20,3,22077.0
572,4Q7PRWyZrpaEWFd8I0gdtB,bloem,34,4073,nederpop,1976,2011,5,2,177749.0
577,3futDBFMu9zW0m4YsLNGRH,kari peitsamo,13,2059,"classic finnish rock, suomi rock",2007,2020,15,1,4624.0
578,4S9LNSZusH3XflT3g32bqB,carla monroe,56,5272,uk dance,2019,2023,20,4,2543668.0
579,14jkAPjXRzlL89CjZedmhh,josé anillo,6,1045,"flamenco, nuevo flamenco",2011,2011,1,11,1633.0
580,4iom7VVRU6AHRIu1JUXpLG,boy harsher,51,305726,"grave wave, western mass indie",2016,2022,20,1,577342.0
586,0khzcQ6PQU5a6dl1Qss3pt,lorrie morgan,45,412614,"country, country dawn, country road",1989,2023,20,1,407267.0
591,5EmjUd3gfvKctLORYdLhpy,bill martin,6,196,library music,2011,2018,3,1,1787.0
594,1sOYeIJ9RXcjlk8eIlv1U5,redogre,14,2433,"j-core, speedcore",2013,2022,5,6,4114.0
596,77vAGGUqyyhH8JCYSsKbka,takafin,24,11467,j-reggae,2017,2023,9,1,12109.0
599,2SXhbucehn00OBVKhzxDyM,erica banks,47,156750,trap queen,2019,2024,20,1,705648.0
600,1UlsYUMhdvKPpLGtRrN0Dn,jimmy gourley,3,223,jazz guitar,1972,2021,8,8,285.0
604,0uSobLDqVMPaOzd2elMNCa,amen andrews,4,1988,braindance,2014,2014,1,4,833.0
605,0SeXXmFow13WNHCwgzrXWK,øyonn groven myhren,9,803,norwegian folk,1997,2024,14,1,1588.0
608,6Vm68846anDdlA1zEiKJ3b,"10,000 years",21,3563,psychedelic doom,2020,2022,8,5,14869.0
610,1I2SRusAAuL56wVdNJCBY8,comecon,9,6470,"swedish death metal, swedish metal",1993,1995,2,12,2630.0
611,69k6uTSZMPLpSnhmLCiKxQ,coal chamber,48,562817,"alternative metal, industrial metal, nu metal, rap metal, rap rock",1997,2015,5,14,531535.0
616,3iqTj2ISCCfGIAN2ZyggJO,the primitive quartet,28,7798,southern gospel,2009,2023,12,10,12893.0
617,3s4orfCrTNd3Kc8LUuAFNa,sub bass xxl,4,106,deep filthstep,2012,2012,2,1,120.0
622,4rc2oIEaSRPAWpwmXZvGe9,francesco piu,6,1125,italian blues,2010,2023,10,1,348.0
627,2r7POU2f5jV6x3k4vsNwrM,fiora,49,11455,vocal trance,2011,2024,20,1,578093.0
629,373cScYXY2oA6SKICK3Rj3,total angels violence,0,10,ukrainian black metal,2017,2017,1,5,1.0
632,2ZulgXPozVBLNaJPXR8MnV,3js,40,50669,"dutch pop, dutch rock, kermis",2007,2024,20,1,132747.0
634,7n8Q2zigv0vK6OU044zDND,luis alberto del paraná,30,15697,"arpa paraguaya, folklore paraguayo, polca paraguaya",1962,2023,20,12,31049.0
636,0Rq2hV3S3O4JMWbL2B510w,epic rap battles of history,51,403727,"antiviral pop, comic",2013,2024,20,1,335968.0
637,4zAOqBfNLyWFvj1e3yvypJ,catching flies,54,91687,"downtempo, indie dream pop",2019,2024,20,2,1598960.0
638,08p7B5OtcUuVblvkQIlBhJ,tyrese,56,2421807,"contemporary r&b, hip pop, r&b, urban contemporary",1998,2023,20,1,1475469.0
639,4FSTiQawX8fXrRMYNma5uh,夜に駆ける,3,873,japanese shoegaze,2021,2022,3,6,414.0
642,1ioFubkyRW98rgJuAaQHUV,klaus & kinski,17,13682,"murcia indie, spanish indie pop, spanish noise pop",2008,2021,9,5,5886.0
643,4F9stJgctKH0bQc4JPmgfd,robert pater,45,12876,"carnaval, levenslied",2013,2023,20,1,230685.0
646,3L2YNtNmhX2YWTsO6pxVXC,supersoaker,0,155,norwegian indie,2013,2016,5,1,39.0
